previous_assessment_avg,recent_assessment_score,topic_wise_accuracy,quiz_completion_rate,attendance_percentage,assignment_completion_rate,study_session_completion_rate,avg_daily_study_time_minutes,late_submissions_count,integrity_events_count,weak_topics_count,assessment_attempt_count,risk_level
63.18,63.56,63.95,53.3,68.2,61.11,47.08,12.5,2,3,3,2,2
99.5,100.0,94.24,86.94,89.11,88.18,80.53,99.0,2,0,2,12,0
50.94,27.75,38.95,49.14,57.75,42.07,36.16,23.2,6,6,6,8,2
51.68,51.79,53.2,67.88,64.37,62.75,53.55,71.3,5,3,5,9,2
99.5,100.0,90.36,100.0,100.0,100.0,99.03,103.0,1,0,0,7,0
56.98,56.03,62.49,75.34,81.86,80.35,71.17,68.5,7,1,6,12,2
66.25,64.69,65.87,70.37,75.87,60.3,51.19,26.2,8,3,5,13,2
66.29,78.39,69.38,85.08,90.66,82.03,92.04,81.0,3,2,3,7,2
93.05,95.45,91.41,80.6,86.04,78.5,90.65,63.8,5,1,3,3,1
76.15,83.38,80.79,75.75,84.82,74.67,72.31,37.5,2,1,4,7,1
99.5,100.0,95.83,82.65,100.0,90.39,89.69,92.1,0,0,2,6,0
32.77,24.06,34.74,42.13,56.99,16.46,21.4,5.0,8,0,11,13,2
67.6,60.02,68.19,64.81,85.31,55.99,66.82,40.6,2,1,1,7,2
26.44,18.75,20.62,38.54,54.2,47.65,36.97,23.6,8,1,7,10,2
82.62,83.76,82.27,100.0,98.99,87.29,70.61,68.4,1,1,4,6,1
86.79,91.6,93.47,91.32,84.45,82.11,86.28,67.0,2,0,2,6,0
51.81,38.49,48.37,69.97,77.61,68.32,55.51,77.4,2,5,8,5,2
88.81,82.88,85.65,78.41,94.31,81.4,73.09,72.8,2,2,9,12,2
56.48,54.92,52.91,31.78,48.02,28.57,22.92,5.0,5,2,1,12,2
84.99,91.86,87.15,51.09,87.58,63.65,47.48,40.0,4,1,3,10,2
48.38,31.37,40.26,57.57,74.9,60.46,56.12,46.6,4,4,7,7,2
91.92,94.43,94.11,100.0,98.79,100.0,100.0,103.3,4,0,5,6,2
54.34,46.03,49.93,69.61,84.14,61.02,47.94,37.1,5,4,5,9,2
40.07,38.36,35.55,49.53,71.77,61.33,61.84,11.9,1,1,4,10,2
75.53,77.72,80.76,81.07,90.47,92.25,89.18,63.1,2,0,2,2,1
99.5,100.0,100.0,86.62,100.0,94.84,93.0,85.0,0,0,1,4,0
96.96,91.74,90.98,100.0,93.79,81.76,94.21,97.9,2,0,7,3,2
97.24,100.0,95.93,84.63,90.23,76.21,79.41,82.8,2,0,2,2,0
85.86,88.98,89.88,84.01,92.68,100.0,100.0,83.4,3,2,6,5,2
